Nombre,Genero,Desarrollador,Clasificacion_ESRB
Grand Theft Auto V,Accion,Rockstar,M
Minecraft,Supervivencia,Mojang Studios,E10
God of War (2018),Accion,Santa Monica Studio,M
Fifa,Deportes,EA Sports,E
